Group,Course Name,Course Code
Mathematics,"Introduction to Statistics, Probability and Mathematical Modeling",MATH 100
Mathematics,Intermediate Algebra,MATH 103
Mathematics,Mathematical Thinking,MATH 104
Mathematics,"Data, Functions and Graphs",MATH 105
Mathematics,Mathematics for the Information Age,MATH 107
Mathematics,Pre Calculus,MATH 110
Mathematics,Calculus 1,MATH 115
Mathematics,Calculus 2,MATH 116
Mathematics,Geometry and the Imagination,MATH 127
Mathematics,Explorations in the Number Theory,MATH 128
Mathematics,Houghton Scholars Calculus Workshop 1,MATH 145
Mathematics,Houghton Scholars Calculus Workshop 2,MATH 146
Mathematics,Introduction to Interest Theory,MATH 147
Mathematics,Applied Honors Calculus 2,MATH 156
Mathematics,Proofs in Geometry,MATH 174
Mathematics,Introduction to Cryptology,MATH 175
Mathematics,Explorations in Topology and Analysis,MATH 176
Mathematics,Honors Calculus 1,MATH 185
Mathematics,Honors Calculus 2,MATH 186
Mathematics,Linear Algebra,MATH 214
Mathematics,Calculus 3,MATH 215
Mathematics,Introduction to Differential Equations,MATH 216
Mathematics,Linear Algebra,MATH 217
Mathematics,Applied Honors Calculus 3,MATH 255
Mathematics,Applied Honors Calculus 4,MATH 256
Mathematics,Problem Solving,MATH 289
Mathematics,Honors Mathematics 1,MATH 295
Mathematics,Honors Mathematics 2,MATH 296
Mathematics,Elementary Topics: Choice and Chance,MATH 310
Mathematics,Applied Modern Algebra,MATH 312
Mathematics,Differential Equations,MATH 316
Mathematics,Evolution of Mathematical Concepts,MATH 327
Mathematics,Principles of Analysis,MATH 351
Mathematics,Fourier Analysis and Its Applications,MATH 354
Mathematics,Numerical Methods,MATH 371
Mathematics,Math for Elementary School Teachers,MATH 385
Mathematics,Explorations in Mathematics,MATH 389
Mathematics,Honors Analysis 1,MATH 395
Mathematics,Honors Analysis 2,MATH 396
Mathematics,Intermediate Differential Equations,MATH 404
Mathematics,Introduction to Modern Algebra,MATH 412
Mathematics,Theory of Algorithms,NATH 416
Mathematics,Matrix Algebra 1,MATH 417
Mathematics,Linear Spaces and Matrix Theory,MATH 419
Mathematics,Advanced Linear Algebra,MATH 420
Mathematics,Risk Management and Insurance,MATH 422
Mathematics,Mathematics of Finance,MATH 423
Mathematics,Compound Interest and Life Insurance,MATH 424
Mathematics,Introduction to Probability,MATH 425
Mathematics,Retirement Plans and Other Employee Benefits,MATH 427
Mathematics,Topics in Geometry for Teachers,MATH 431
Mathematics,Introduction to Differential Geometry,MATH 433
Mathematics,Introduction to Differential Manifolds,MATH 437
Mathematics,Advanced Mathematics for Engineers 1,MATH 450
Mathematics,Advanced Calculus 1,MATH 451
Mathematics,Advanced Calculus 2,MATH 452
Mathematics,Boundary Value Problems for Partial Differential Equations,MATH 454
Mathematics,Mathematical Models,MATH 462
Mathematics,Math Modeling in Biology,MATH 463
Mathematics,Inverse Problems,MATH 464
Mathematics,Introduction to Combinatorics,MATH 465
Mathematics,Mathematical Ecology,MATH 466
Mathematics,Introduction to Numerical Methods,MATH 471
Mathematics,Numerical Methods with Financial Applications,MATH 472
Mathematics,Elementary Number Theory,MATH 475
Mathematics,Computatioal Laboratory in Number Theory,MATH 476
Mathematics,Introduction to Mathematical Logic,MATH 481
Mathematics,Concepts Basic to Secondary School Math,MATH 485
Mathematics,Math for Elemetary and Middle School Teachers,MATH 489
Mathematics,Introduction to Topology,MATH 490
Mathematics,Honors Algebra 1,MATH 493
Mathematics,Honors Algebra 2,MATH 494
Mathematics,Topics in Elemetary Mathematics,MATH 497
Mathematics,Topics in Modern Mathematics,MATH 498
Mathematics,Life Contingencies 1,MATH 520
Mathematics,Life Contingencies 2,MATH 521
Mathematics,Actuarial Theory of Pensions and Social Security,MATH 522
Mathematics,Risk Theory,MATH 523
Mathematics,Probability Theory,MATH 525
Mathematics,Discrete State Stochastic Processes,MATH 526
Mathematics,Topics in Casualty Insurance,MATH 528
Mathematics,Biological Sequence Analysis,MATH 547
Mathematics,Introduction to Adaptive Systems,MATH 550
Mathematics,Introduction to Complex Variables,MATH 555
Mathematics,Methods of Applied Mathematics 1,MATH 556
Mathematics,Methods of Applied Mathematics 2,MATH 557
Mathematics,Ordinary Differential Equations,MATH 558
Mathematics,Topics in Applied Mathematics,MATH 559
Mathematics,Linear Programming 1,MATH 561/ OMS 518/ IOE 511
Mathematics,Continuous Optimization Methods,MATH 562/ IOE 511
Mathematics,Advanced Mathematical Methods for the Biological Sciences,MATH 563
Mathematics,Topics in Mathematical Biology,MATH 564
Mathematics,Combinatorics and Graph Theory,MATH 565
Mathematics,Combinatorial Theory,MATH 566
Mathematics,Introduction to Coding Theory,MATH 567
Mathematics,Numerical Methods for Scentific Computing 1,MATH 571
Mathematics,Numerical Methods for Scientific Computing 2,MATH 572
Mathematics,Introduction to Theory of Numbers,MATH 575
Mathematics,Introduction to Set Theory,MATH 582
Mathematics,An Introduction to Topology,MATH 590
Mathematics,General and Differential Topology,MATH 591
Mathematics,An Introduction to Algebraic Topology,MATH 592
Mathematics,Algebra 1,MATH 593
Mathematics,Algebra 2,MATH 594
Mathematics,Analysis 1 (Complex),MATH 596
Mathematics,Analysis 2 (Real),MATH 597
Anthropology,Introduction to Prehistoric Archaeology,ANTHRARC 282
Anthropology,Topics in Archaeology: Local Food Producers,ANTHRARC 296
Anthropology,Undergraduate Seminar in Archaeology,ANTHRARC 394
Anthropology,Introduction to Analytical Methods in Archaeology,ANTHRARC 494
Anthropology,Introduction to Biological Anthropology,ANTHRBIO 201
Anthropology,Human Evolution,ANTHRBIO 365
Anthropology,Primate Social Behavior,ANTHRBIO 368/ PSYCH 228
Anthropology,Human and Environmental Change,ANTHRBIO 373
Anthropology,Primate Conservation Biology,ANTHRBIO 461/ ANVIRON 461
Anthropology,Human Life Cycle,ANTHEBIO 462
Anthropology,Primate Functional Anatomy,ANTHRBIO 465
Anthropology,Human Behavioral Ecology,ANTHRBIO 467
Anthropology,Topics in Biological Anthropology: Collection of Human Biological Samples & Analysis of Biomarks,ANTHRBIO 469
Anthropology,Research in Biological Anthropology: An Introduction to Statistical Modeling and Data Visualization in R,ANTHRBIO 471
Anthropology,Methods in Paleodiet Reconstruction,ANTHRBIO 476
Anthropology,Primate Behavioral Ecology & Sociobiology,ANTHRBIO 478
Anthropology,"Problems in Nutrition, Growth and Aging",ANTHRBIO 664
Anthropology,"Topics in Human Evolution: Neandertals as ""others""",ANTHRBIO 665
Anthropology,Topics in Primatology: The Hottest Topics in Primatology and Behavior,ANTHRBIO 668/ PSYCH 630
Anthropology,Language and Culture,ANTHRCUL 374/ LING 374
Anthropology,Topics in Sociocultural and Linguistic Anthropolgy,ANTHRCUL 458
Anthropology,Ethnopoetics: Cross-Cultural Approaches to Verbal Art,ANTHRCUL 473/ LING 473
Anthropology,The Comparative Study of Cultures,ANTHRCUL 222
Anthropology,The Anthropology of Food,ANTHRCUL 254
Anthropology,Cuba & Its Diaspora,ANTHRCUL 314
Anthropology,Introduction to Latin America Society and Culture,ANTHRCUL 319
Anthropology,Latin America: The Colonial Period,ANTHRCUL 346/ HISTORY 347
Anthropology,Topics in Sociocultural Anthropology: Child Health in Africa,ANTHRCUL 356
Anthropology,Introduction to Caribbean Societies and Cultures 1,ANTHRCUL 414
Anthropology,Topics in Sociocultural and Linguistic Anthropology,ANTHRCUL 458
Anthropology,Critical Theory in Medicine and Healing,ANTHRCUL 327/ RCSSCI 327/ WMSTD 307
Anthropology,Globalizing Consumer Cultures,ANTHRCUL 328
Anthropology,"Culture, Thought and Meaning",ANTHRCUL 330
Anthropology,Anthropology and the Body,ANTHRCUL 352
Anthropology,Childbirth & Culture,ANTHRCUL 325. WMSTD 324
Anthropology,Non-Western Legal Systems 1,ANTHRCUL 333
Anthropology,Topics in Sociocultural Anthropology: Filming the Future of Detroit,ANTHRCUL 356
Anthropology,"Undergrad Seminar in Sociocultural Anthropology: Art, Science and Thechnology",ANTHRCUL 357/HISTART 393
Anthropology,Sex and the City: Urban Geography and Sexual Locations,ANTHRCUL 446
Anthropology,"Global Perspective on Gender, Health and Reproduction",AAS 365/ WOMENSTD 365
Anthropology,Human Growth and Development Across the Life Cycle,ANTHRBIO 462
Chemistry,Concepts in Chemistry,CHEM 100
Chemistry,Our Changing Environment,CHEM 105
Chemistry,Quantitative Reasoning in Biological Sciences,CHEM 106/ BIOL 106
Chemistry,The Physical World,CHEM 108/PHYS 119
Chemistry,Natural Science: Bridging the Gaps,CHEM 109/PHYS 109
Chemistry,First Year Seminar in Chemistry,CHEM 120
Chemistry,General Chemistry Laboratory 1,CHEM 125
Chemistry,General Chemistry Laboratory 2,CHEM 126
Chemistry,General Chemistry: Macroscopic Investigations and Reaction Principles,CHEM 130
Chemistry,Structure and Reactivity 1,CHEM 210
Chemistry,Investigations in Chemisry,CHEM 211
Chemistry,Structure and Reactivity 2,CHEM 215
Chemistry,Synthesis and Characterization of Organic Compounds,CHEM 216
Chemistry,Independent Study in Chemistry,CHEM 219
Chemistry,Teaching Experience for Undergraduates,CHEM 220
Chemistry,Physical Chemical Principles and Applications,CHEN 230
Chemistry,Introduction to Chemical Analysis,CHEN 241
Chemistry,Introduction to Chemical Analysis Laboratory,CHEM 242
Chemistry,Biomedical Analytical Chemistry,CHEM 245
Chemistry,Biomedical Analytical Chemistry Laboratory 1,CHEM 246
Chemistry,Biomedical Analytical Chemistry Laboratory 2,CHEM 247
Chemistry,Chemical Principles,CHEM 260
Chemistry,Introduction to Quantum Chemistry,CHEM 261
Chemistry,Mathematical Methods for Physical Scientists,CHEM 262
Chemistry,Sophomore Seminar,CHEM 290
Chemistry,"Inorganic Chemistry: Molecules, Materials and Applications in Energy",CHEM 302
Chemistry,Intriductory Bioinorganic Chemistry: The Role of Metals in Life,CHEM 303
Chemistry,Fundamentals of Biochemistry,CHEM 351
Chemistry,Introdcution to Biochemical Research Techniques and Scientific Writing,CHEN 353
Chemistry,Physical and Chemical Principles Behind Biology nad Medicine,CHEM 370/ BIOPHYS 370/ PHYSICS 370
Chemistry,Undergraduate Research in Biochemistry,CHEM 398
Chemistry,Undergraduate Research,CHEM 399
Chemistry,Intermediate Inorganic Chemistry,CHEM 402
Chemistry,Responsible Conduct in Chemical Research,CHEM 415
Chemistry,Dynamical Processes in Biophysics,CHEM 417/ BIOPHYS 417/ PHYSICS 417
Chemistry,Intermediate Physical Organic Chemistry,CHEM 419
Chemistry,Intermediate Organic Chemistry,CHEM 420
Chemistry,Special Topics in Organic Chemistry,CHEM 425
Chemistry,Polymer Synthesis and Characterization,CHEM 436
Chemistry,Biophysics of Diseases,CHEN 440/ BIOPHYS 440
Chemistry,Physical Methods of Analysis,CHEM 447
Chemistry,Advanced Biochemistry: Macromolecular Structure and Function,CHEM 451/ BIOLCHEM 451
Chemistry,Advanced Biochemistry: Cellular Processes,CHEM 452/BIOLCHEM 452
Chemistry,Biophysical Chemistry 1: Themodynamics and Kinetics,CHEM 453
Chemistry,Biophysical Chemistry 2: Macromolecular Structure and Dynamics,CHEM 454/ BIOPHYS 454
Chemistry,Special Topics in Biochemistry: Nucletic Acids,CHEN 455
Chemistry,Physical Chemistry 1,CHEM 461
Chemistry,Computational Chemistry Laboratory,CHEM 462
Chemistry,Physical Chemistry 2,CHEM 463
Chemistry,Special Topics in Physical Chemistry,CHEM 465
Chemistry,Biogeochemical Cycles,CHEM 467
Chemistry,Environmental Chemistry,CHEM 474
Chemistry,Synthesis and Characterization,CHEM 482
Chemistry,Advanced Methods in Physical Analysis,CHEM 483
Chemistry,Communication in the Natural Sciences,CHEM 495
Chemistry,Undergraduate Honors Thesis in Biochemistry,CHEM 498
Chemistry,Undergraduate Thesis,CHEM 499
Chemistry,Inorganic Chemistry,CHEN 507
Chemistry,Materials Chemistry,CHEM 511
Chemistry,Methods of Biophysical Chemistry,CHEN 520
Chemistry,Principles of Biophysical Chemistry,CHEN 521
Chemistry,Organic Chemistry of Macromolecules,CHEN 538
Chemistry,Organic Principles,CHEN 549
Chemistry,Advanced Organic Chemistry,CHEN 541
Chemistry,Applications of Physical Methods to Organic Chemistry,CHEN 542
Chemistry,Molecular Physical Chemistry,CHEM 570
Chemistry,Chemical Thermodynamics,CHEN 575
Chemistry,Molecular Spectra Structure,CHEN 580
Chemistry,Kinetics and Mechanism,CHEM 673/BIOLCHEM 673
Biology,Biology for Nonscientists,BIOLOGY 100
Biology,"Energy, Food and the Environment",BIOLOGY 101/ EVVIRON 101
Biology,Practical Botany,BIOLOGY 102
Biology,Biology of Nutrition,BIOLOGY 105
Biology,Quantitative Reasoning in Biological Sciences,BIOLOGY 106
Biology,Evolution of Life,BIOLOGY 107
Biology,Introduction to Animal Diversity,BIOLOGY 108
Biology,Ecological Knowledge and Environmental Problem Solving,BIOLOGY 109
Biology,Introduction to Global Change: The Science Behaind Sustainability,BIOLOGY 110
Biology,Biology of Sex,BIOLOGY 116
Biology,AIDS and Other Health Crises,BIOLOGY 118
Biology,First Year Seminar in Biology,BIOLOGY 120
Biology,Topics in Biology,BIOLOGY 121
Biology,Biotechnology and Society,BIOLOGY 125
Biology,Animal Behavior,BIOLOGY 130
Biology,Decoding Your DNA: Implications for You and Society,BIOLOGY 144
Biology,Introductory Biology: Ecology and Evolution,BIOLOGY 171
Biology,"Introductory Biology - Molecular, Cellular and Developmental",BIOLOGY 172
Biology,Introductory Biology Laboratory,BIOLOGY 173
Biology,Introduction to Cell and Molecular Biology,BIOLOGY 174
Biology,Undergraduate Tutorial,BIOLOGY 200
Biology,Intermediate Topics Biology,BIOLOGY 201
Biology,Mathematics of Life: Itroduction to Quantitative Biology,BIOLOGY 202
Biology,Developmental Biology,BIOLOGY 205
Biology,Introductory Microbiology,BIOLOGY 207
Biology,Plants and Human Health,BIOLOGY 212
Biology,Principles of Animal Physiology and Neurobiology,BIOLOGY 225
Biology,Animal Physiology Laboratory,BIOLOGY 226
Biology,Introduction to Plant Biology,BIOLOGY 230
Biology,Honors Core in Biology,BIOLOGY 232
Biology,"Health, Biology and Society: What is Cancer?",BIOLOGY 241
Biology,Honors Core Writing in Biology,BIOLOGY 242
Biology,Vertebrate Evolution and Diversity,BIOLOGY 252
Biology,Plant Diversity,BIOLOGY 255
Biology,Environmental Physiology of Animals,BIOLOGY 256
Biology,General Ecology,BIOLOGY 281
Biology,Animal Diversity,BIOLOGY 288
Biology,Genetics,BIOLOGY 305
Biophysics,Intriduction to Medical Imaging,BIOPHYS 116
Biophysics,The Discovery of the DNA Double Helix and Its Hidden Mysteries,BIOPHYS 120
Biophysics,Biophysics Undergraduate Research,BIOPHYS 280
Biophysics,Physics of the Body and Mind,BIOPHYS 290/ PHYSICS 290
Biophysics,Physical and Chemical Principles Behind Biology and Medicine,BIOPHYS 370/CHEM 370/Physics 370
Biophysics,Research in Biophysics,BIOPHYS 399
Biophysics,Directed Study,BIOPHYS 415
Biophysics,Dynamical Processes in Biophysics,BIOPHYS 417/ CHEM 417/ PHYSICS 417
Biophysics,Biocomplexity,BIOPHYS 433/ PHYSICS 433
Biophysics,Biophysical Modeling,BIOPHYS 435
Biophysics,Biophysics of Diseases,BIOPHYS 440
Biophysics,Laboratory Techniques in Biophysics,BIOPHYS 450/ PHYSICS 450
Biophysics,Biophysical Chemistry 2: Macromolecular Structure and Dynamics,BIOPHYS 454/CHEM 454
Biophysics,Mathematical Modeling in Biology,BIOPHYS 463/MATH 463
Biophysics,Senior Seminar in Biophysics,BIOPHYS 495
Biophysics,Senior Thesis,BIOPHYS 498
Biophysics,Honors Thesis,BIOPHYS 499
Biophysics,Methods of Biophysical Chemistry,BIOPHYS 520/ CHEM 520
Biophysics,Principles of Biophysical Chemistry,BIOPHYS 521/ CHEM 521
Communication,The Mass Media,COMM 101
Communication,Media Processes and Effects,COMM 102
Communication,Quantitative Skills for Communication Studies,COMM 121
Communication,Media Analysis: Concepts and Methods,COMM 122
Communication,First Year Seminar in Media Issues,COMM 159
Communication,Understanding Media Industries,COMM 251
Communication,Views on the News: What Shapes our Media Content,COMM 261
Communication,Communication Revolutions,COMM 271
Communication,Media Psychology,COMM 281
Communication,Survey of Media Topics,COMM 305
Communication,Behind the Digital Screen,COMM 313
Communication,Critical Approaches to the Internet,COMM 315
Communication,Designing Persuasive Communication,COMM 317
Communication,Media and Violence,COMM 318/ PSYCH 318
Communication,Media and Globalization,COMM 325
Communication,American Magazines,COMM 326
Communication,Media Economics ,COMM 327
Communication,Mass Media and Political Behavior,COMM 329/ POLSCI 329
Communication,"Race, U.S. Culture and Digital Games",COMM 334
Communication,History of U.S. Broadcasting,COMM 335
Communication,Advertising and the New Media Environment,COMM 347
Communication,The Rise and Demise of Mass Culture,COMM 350
Communication,Digital Media Foundations,COMM 362
Communication,Visual Culture and Visual Literacy,COMM 365
Communication,"Media, Culture and Society",COMM 371
Communication,"Persuation, Communication and Campaigns",COMM 380
Communication,Special Topics in Mass Media and Mass Communication,COMM 404
Communication,Seminar in Media Effects,COMM 408
Communication,Seminar in Media Effects,COMM 409
Communication,Environmental Communication,COMM 413
Communication,"Communication, Identity and the Public Sphere",COMM 415
Communication,Designing Web Research,COMM 418
Communication,Seminar in Research Methods,COMM 419
Communication,Media Law and Policy,COMM 421
Communication,Social Media and Politics,COMM 422
Communication,Computer Mediated Communication,COMM 423
Communication,"Race, Gender and New Media",COMM 424
Communication,"Internet, Society and the Law",COMM 425
Communication,"Gender, Media and the Law",COMM 428
Communication,Supreme Court News Coverage,COMM 431
Communication,Foreign News Coverage,COMM 432
Communication,Ethics Issues in Journalism ,COMM 435
Communication,Seminar in Journalistic Performance,COMM 439
Communication,Global Iconic Events,COMM 440
Communication,"LA, Bombay, Hong Kong: Cultural Industries in Transition",COMM 443
Communication,"Race, Representation and the Media",COMM 444
Communication,Music and Mediated Identities,COMM 445
Communication,Reality and Television,COMM 446
Communication,Women and Islam: The Politics of Representation,COMM 447
Communication,Media and the Body,COMM 448
Communication,Global Visual Cultures,COMM 455
Communication,Critical Issues in Television: The Post Network Era,COMM 456
Communication,Citizenship after Television,COMM 457
Communication,History of Technology and Modern Culture,COMM 460
Communication,Visuality and the New Media,COMM 461
Communication,Communication and Political Representation,COMM 463
Communication,Social Consequences of Mobile Communication,COMM 464
Communication,Health Communication and Health Behavior Change,COMM 465
Communication,Global Digital Politics,COMM 466
Communication,"Debating Politics and Science: Science, News, Public Opinion and Policy",COMM 467
Communication,Play and Technology,COMM 469
Communication,Telling Our Own Stories: Minority Self-Representation in the Media,COMM 470
Communication,Mass Media in the World,COMM 475
Communication,The Mass Media and Celebrity Culture,COMM 477
Communication,Strategic and Pursuasive Communication,COMM 480
Communication,Children and the Media,COMM 482
Communication,Media and Intergroup Conflict,COMM 483
Communication,Afro-Asian Popular Culture,COMM 486
Communication,African Americans in Popular Culture,COMM 487
Communication,Capstones Seminars in Media Topics,COMM 490
