Group,Course Name,Course Code,
Biology,Human reproduction and development ,Biol.UA3,
Biology,Human physiology,Biol.UA4,
Biology,Human biology ,Biol.UA6,
Biology,Applied Human physiology ,Bio.UA7,
Biology,Living environment,Biol.UA8,
Biology,Principles of biology |,Biol.UA11,
Biology,Principles of biology ||,Bio.UA12,
Biology,Ecological field methods ,Biol.UA16,
Biology,Molecular and cell biology,Biol.UA21,
Biology,Molecular and cell biology ||,Biol.UA22,
Biology,Vertebrate anatomy,Biol.UA23,
Biology,Principles of animal physiology,Biol.UA25,
Biology,Developmental biology ,Biol.UA26,
Biology,At the bench: experimental physiology,Biol.UA27,
Biology,Genetics ,Biol.UA30,
Biology,Gene structure and function,Biol.UA32,
Biology,Applied cell biology ,Biol.UA37,
Biology,Genome biology,Biol.UA38,
Biology,Biostatistics,Biol.UA42,
Biology,Microbiology and microbial genomics,Biol.UA44,
Biology,Quantitative methods in human genetics ,Biol.UA45,
Biology,Immunology,Biol.UA49,
Biology,Evolution,Biol.UA58,
Biology,Fundamental of ecology,Biol.UA63,
Biology,Bioinformatics in medicine and biology,Biol.UA103,
Biology,Environmental and molecular analysis of a disease,Biol.UA500,
Biology,Becoming a scientist,Biol.UA995,
Chemistry,General chemistry |,CHEM-UA 125,
Chemistry,General chemistry ||,CHEM-UA 126,
Chemistry,Intro to modern chemistry,CHEM-UA 120,
Chemistry,Advanced general chemistry ,CHEM-UA 128,
Chemistry,Principles of organic chemistry ,CHEM-UA 210,
Chemistry,Organic chemistry |,CHEM-UA 225,
Chemistry,Organic chemistry ||,CHEM-UA 226,
Chemistry,Majors organic chemistry,CHEM-UA 228,
Chemistry,Physical chemistry: quantum mechanics and spectroscopy,CHEM-UA 651,
Chemistry,Physical chemistry: Thermodynamics and kinetics,CHEM-UA 652,
Chemistry,Inorganic chemistry,CHEM-UA 711,
Chemistry,Structual DNA nanotechnology,CHEM-UA 828,
Chemistry,Biochemistry |,CHEM-UA 881,
Chemistry,Biochemistry ||,CHEM-UA 882,
Chemistry,Advanced biochemistry,CHEM-UA 890,
Chemistry,Strategies in synthetic organic chemistry,CHEM-GA 1311,
Chemistry,Advanced biophysical chemistry ,CHEM-GA 1818,
Chemistry,Polymer chemistry,CHEM-GA 2420,
Chemistry,Statistical mechanics,CHEM-GA 2600,
Chemistry,Quantum chemistry and dynamics ,CHEM-GA 2666  ,
Chemistry,NMR spectroscopy: theory and practice,CHEM-GA 2680,
Chemistry,Bioorganic chemistry,CHEM-GA 2884,
Computer Science,Quantitative reasoning: mathematics and computing,CORE-UA.0109,
Computer Science,Computer in society,CSCI-UA.0001,
Computer Science,Introduction to computer programming,CSCI-UA.0002,
Computer Science,Introduction to web design and computer principles ,CSCI-UA.0004,
Computer Science,Database design and web implementation,CSCI-UA.0060,
Computer Science,Web development and programming,CSCI-UA.0061,
Computer Science,Introduction to computer science,CSCI-UA.0101,
Computer Science,Data structures,CSCI-UA.0102,
Computer Science,Computer systems organization,CSCI-UA.0201,
Computer Science,Operating systems,CSCI-UA.0202,
Computer Science,Basic algorithms,CSCI-UA.0310,
Computer Science,Introduction to computer simulation,CSCI-UA.0330,
Computer Science,Topics of general computing interest,CSCI-UA.0380,
Computer Science,Numerical computing,CSCI-UA.0421,
Computer Science,Computer archithecture,CSCI-UA.0453,
