Group,Course Name,Course Code
Accounting,Introductory to Financial Accounting 1,ACCTG 151
Accounting,Introductory to Financial Accounting 2,ACCTG 152
Accounting,Cost Accounting,ACCTG 160
Accounting,Foreign Studies,ACCTG 199
Accounting,Introductory to Financial Accounting,ACCTG 201
Accounting,Introductory to Managerial Accounting,ACCTG 202
Accounting,Financial and Managerial Accounting for Decision Making,ACCTG 211
Accounting,Financial Statements and Management Decisions,ACCTG 305
Accounting,Federal Taxation 1,ACCTG 310
Accounting,Accounting Systems and Control,ACCTG 311
Accounting,Accounting Technology Lab,ACCTG 312
Accounting,Cost Accounting,ACCTG 340
Accounting,Intermediate Accounting 1,ACCTG 371
Accounting,Auditing,ACCTG 403W
Accounting,Managerial Accounting: Economic Perspective,ACCTG 404
Accounting,Principles of Taxation 1,ACCTG 405
Accounting,Principles of Taxation 2,ACCTG 406
Accounting,Federal Taxation 2,ACCTG 410
Accounting,Accounting Practicum,ACCTG 411
Accounting,Corporate and Managerial Communication,ACCTG 417
Accounting,Accounting Systems,ACCTG 422
Accounting,Financial Statement Analysis,ACCTG 426
Accounting,Advanced Auditing,ACCTG 431
Accounting,Accounting Information Systems,ACCTG 432
Accounting,Advanced Management Accounting ,ACCTG 440
Accounting,Advanced Accounting,ACCTG 450
Accounting,International Accounting,ACCTG 461
Accounting,Governmental and Non for Profit Accounting,ACCTG 462
Accounting,Accounting Theory,ACCTG 463
Accounting,Intermediate Financial Accounting 1,ACCTG 471
Accounting,Intermediate Financial Accounting 2,ACCTG 472
Accounting,Advanced Financial Accounting,ACCTG 473
Accounting,Financial Statement Analysis: Accounting Based Evaluation and Decision Making,ACCTG 481
Accounting,Forensic Accounting,ACCTG 483
Accounting,Seminar in Accounting,ACCTG 489
Accounting,Research Project,ACCTG 494
Accounting,International Business and Society,B A 364Y
Accounting,Business Strategy,B A 462
Accounting,Introductory Microeconomic Analysis and Policy,ECON 102
Accounting,Introductory Macroeconomic Analysis and Policy,ECON 104
Accounting,Effective Writing: Business Writing,ENGL 202D 
Accounting,Corporate Finance,FIN 301
Accounting,Financial Management of the Business Enterprise,FIN 305
Accounting,Security Analysis of the Business Enterprise,FIN 406
Accounting,Financial Markets and Institutions,FIN 408
Accounting,Basic Management Concepts,MGMT 301
Accounting,Organizational Behavior and Design,MGMT 326
Accounting,International Management,MGMT 461
Accounting,Strategic Management,MGMT 471
Accounting,Principles of Marketing,MKTG 301
Accounting,Consumer Behavior Design,MKTG 330
Accounting,Retailing,MKTG 327
Accounting,Global Marketing,MKTG 445
Accounting,Advertising and Sales Promotion,MKTG 422
Accounting,Introduction to Business Information Systems,MIS 204
Accounting,Business Analytics,MIS 301
Accounting,Information Systems Management and Applications,MIS 390
Accounting,Information Technology and Business Strategy,MIS 446
Accounting,Supply Chain Management,SCM 301
Accounting,Demand Fulfillment,SCM 404
Accounting,Manufacturing and Services Strategies,SCM 405
Accounting,Strategic Procurement,SCM 406
Accounting,"Social, Legal and Ethical Environment of Business",B A 243
Accounting,Legal Environment of Business Social and  Ethical Environment of Business,B A 241
Accounting,Ethical Environment of Business,B A 242
Accounting,Techniques of Calculus 1,MATH 110
Accounting,Calculus with Analytics Geometry I,MATH 140
Accounting,Elementary Statistics,STAT 200
Accounting,Introduction to Statistics for Businesses ,SCM 200
Accounting,Strategies for Enterprise Sustainability,B A 441
Accounting,"Sustainable Behavior of Consumers, Firms and Societies",B A 442
Accounting,New Venture Creation,MGMT 425
Accounting,Invention Commercialization,MGMT 426
Accounting,Managing an Entrepreneurial Start-Up Company,MGMT 427
Accounting,International Business Operations,I B 303
Accounting,International Business and National Policies,I B 403
Accounting,Contemporary Issues in International Businesses,I B 404
Accounting,Business Environment of Europe,I B 450
Accounting,International Business in Emerging Nations,I B 460
Accounting,International Real Estate Markets,I B/ R M 480
Accounting,Real Estate Fundamentals,R M 303
Accounting,Contemporary Issues in Real Estate Markets,R M 450
Biology,Preparation Skills for Success in Biology and Life Sciences,BIOL 001
Biology,Peer Learning in Biology,BIOL 003
Biology,Introductory Biology 1,BIOL 011
Biology,Introductory Biology 2,BIOL 012
Biology,Biology: Basic Concepts and Biodiversity,BIOL 110
Biology,"Plants, Places and People",BIOL 120
Biology,Molecular Biology for Life,BIOL 121
Biology,Introduction to Plant Biology,BIOL 127
Biology,Mammalian Anatomy,BIOL 129
Biology,Genetics and Evaluation of the Human Species,BIOL 133
Biology,Introductory Physiology,BIOL 141
Biology,Physiology Laboratory,BIOL 142
Biology,Introduction to Biology of Aging,BIOL 155
Biology,Biology of Sex,BIOL 177
Biology,Introduction to Pharmacological Concepts,BIOL 200
Biology,Biology: Populations and Communities,BIOL 220
Biology,Genetics,BIOL 222
Biology,Laboratory in Genetics,BIOL 223
Biology,Biology: Function and Development of Organisms,BIOL 230
Biology,Peer Leadership in Biology,BIOL 251
Biology,Research Project,BIOL 294
Biology,Independent Studies,BIOL 296
Biology,Laboratory Teaching in Experience Biology,BIOL 296A
Biology,"Human Anatomy Up Close: Science, Society and Dissection",BIOL 297A
Biology,Genetics and Literature,BUIL 297B
Biology,Integrative Pharmacology,BIOL 297C
Biology,Intro to Pathophysiological Concepts,BIOL 297D
Biology,The Ecology and Agriculture of Guanajuato Mexico,BIOL 297E
Biology,Global Climate Change: Sustainability of Select Tropical Ecosystems,BIOL 297F
Biology,Darwinian Medicine,BIOL 297H
Biology,Global Climate Change: A field Course in Panama,BIOl 291I
Biology,Genetic Analysis,BIOL 322
Biology,Teaching in Biology,BIOL 400
Biology,Biological Experimental Design,BIOL 402
Biology,Cellular Mechanisms in Vertebrate Physiology,BIOL 404
Biology,Molecular Evolution,BIOL 405
Biology,Symbiosis,BIOL 406
Biology,Plant Development Anatomy,BIOL 407
Biology,Contributions of Women to the Biological Sciences: Past and Present,BIOL 408
Biology,Biology of Aging,BIOL 409
Biology,Medical Embryology,BIOL 411
Biology,Ecology of Infectious Diseases,BIOL 412
Biology,Cell Signaling and Regulation,BIOL 413
Biology,Taxonomy of Seed Plants,BIOL 414
Biology,Ecotoxicology,BIOL 415
Biology,Biology for Cancer,BIOL 416
Biology,Invertebrate Zoology,BIOL 417
Biology,Ecological and Environmental Problem Solving,BIOL 419
Biology,Paleobotany,BIOL 420
Biology,Comparative Anatomy of Vertebrates,BIOL 421
Biology,Advanced Genetics,BIOL 422
Biology,Seeds of Change: The Use of Plants,BIOL 424
Biology,Biology of Fungi,BIOL 425
Biology,Developmental Neurobiology,BIOL 426
Biology,Evolution,BIOL 427
Biology,Population Genetics,BIOL 428
Biology,Animal Behavior,BIOL 429
Biology,Developmental Biology,BIOL 430
Biology,Reproductive Biology,BIOL 431
Biology,Developmental Genetics,BIOL 432
Biology,Evolution of Vertebrates,BIOL 433
Biology,Pathobiology of Emerging Infectious Disease,BIOL 434
Biology,Ecology of Lakes and Streams,BIOL 435
Biology,Population Ecology and Global Climate Change,BIOL 436
Biology,Histology,BIOL 437
Biology,Theoretical Population Ecology,BIOL 438
Biology,Practical Bioinformatics,BIOL 439
Biology,Plant Physiology,BIOL 441
Biology,Evo-devo: Evolution of Developmental Mechanisms,BIOL 443
Biology,Field Ecology,BIOL 444
Biology,Physiological Ecology,BIOL 446
Biology,Ecology and Plant Reproduction,BIOL 448
Biology,Experimental Field Biology,BIOL 450
Biology,Biology of RNA,BIOL 451
Biology,Plant Tissue Culture and Biotechnology,BIOL 459
Biology,Human Genetics,BIOL 460
Biology,Contemporary Issues in Science and Medicine,BIOL 461
Biology,General Ecology,BIOL 463
Biology,Cociobiology,BIOL 464
Biology,General Cytology,BIOL 465
Biology,Molecular Basis of Neurological Diseases,BIOL 467
Biology,Neurobiology,BIOL 469
Biology,Functional and Integrative Neurosciences,BIOL 470
Biology,Molecular Neurobiology/ Cell Biology Laboratory,BIOL 471
Biology,Mammalian Physiology,BIOL 472
Biology,Laboratory in Mammalian Physiology,BIOL 473
Biology,Astrobiology,BIOL 474
Biology,General Endocrinology,BIOL 479
Biology,Coastal Biology,BIOL 482
Biology,Senior Seminar in Biology,BIOL 492
Biology,Research Project,BIOL 494
Biology,COI Sequence Variation in Lutzomyia Vexator,BIOL 496A/B
Biology,Immune Response of Sceloporus Occidentalis Lizards to Infection by the Malaria,BIOL 496C
Biology,Novel Growth Properties of DeNovo Juvenile Cartilage,BIOL 496D
Biology,Introductory to Comparative Immunology,BIOL 497A
Biology,Comparative Neuroanatomy,BIOL 497C
Biology,Analysis of Biological Data,BIOL 497D
Biology,Biodiversity in Pennsylvania,BIOL 497E
Biology,Science Outreach and Communication,BIOL 497F
Biology,Molecular Basis of Neurological Diseases,BIOL 497G
Biology,Global Climate Change: A field Course in Panama,BIOL 497I
Biology,Biology of Eco-Health,BIOL497T
Biology,Biology of Eco-Health,BIOL 498A
Biology,Tropical Field Ecology,BIOL 499A
Biochemistry and Molecular Biology,Understanding the Bases of Human Disease,BMB 001
Biochemistry and Molecular Biology,Foreign Studies,BMB 199
Biochemistry and Molecular Biology,Elementary Biochemistry,BMB 211
Biochemistry and Molecular Biology,Elementary Biochemistry Laboratory,BMB 212
Biochemistry and Molecular Biology,Applied Biochemisrty,BMB 221
Biochemistry and Molecular Biology,Molecular and Cell Biology 1,BMB 251
Biochemistry and Molecular Biology,Molecular and Cell Biology 2,BMB 252
Biochemistry and Molecular Biology,Majors Colloquium: Molecular Mechanisms and Human Consequences,BMB 398A
Biochemistry and Molecular Biology,"Problem Solving in Biochemistry, Molecular Biology and Microbiology",BMB 398B
Biochemistry and Molecular Biology,Freshman Research Experience in Biochemistry and Molecular Biology 2,BMB 398D
Biochemistry and Molecular Biology,Molecular Biology of the Gene,BMB 400
Biochemistry and Molecular Biology,General Biochemistry,BMB 401
Biochemistry and Molecular Biology,General Biochemistry,BMB 402
Biochemistry and Molecular Biology,Biochemistry Laboratory,BMB 403
Biochemistry and Molecular Biology,Molecular Biology,BMB 406
Biochemistry and Molecular Biology,Instructional Practice,BMB 408
